filename,age
/content/content/combined_faces_train_augmented/43_77_rot_pos40.jpg,43
/content/content/combined_faces_train_augmented/71_50_fliplr_rot_neg20.jpg,71
/content/content/combined_faces_train_augmented/6_51_fliplr_rot_pos40.jpg,6
/content/content/combined_faces_train_augmented/18_301_fliplr_rot_neg20.jpg,18
/content/content/combined_faces_train_augmented/25_686_rot_neg40.jpg,25
/content/content/combined_faces_train_augmented/26_2143_fliplr.jpg,26
/content/content/combined_faces_train_augmented/26_1542.jpg,26
/content/content/combined_faces_train_augmented/3_463_fliplr_rot_neg40.jpg,3
/content/content/combined_faces_train_augmented/33_84_rot_pos20.jpg,33
/content/content/combined_faces_train_augmented/39_35_fliplr_rot_neg40.jpg,39
/content/content/combined_faces_train_augmented/1_343_rot_pos40.jpg,1
/content/content/combined_faces_train_augmented/78_50_rot_neg40.jpg,78
/content/content/combined_faces_train_augmented/44_59_rot_neg20.jpg,44
/content/content/combined_faces_train_augmented/26_1657_fliplr_rot_pos20.jpg,26
/content/content/combined_faces_train_augmented/2_455_fliplr_rot_pos20.jpg,2
/content/content/combined_faces_train_augmented/27_167_rot_pos40.jpg,27
/content/content/combined_faces_train_augmented/30_451_fliplr_rot_neg20.jpg,30
/content/content/combined_faces_train_augmented/25_454_rot_neg20.jpg,25
/content/content/combined_faces_train_augmented/25_339.jpg,25
/content/content/combined_faces_train_augmented/59_118_rot_pos40.jpg,59
/content/content/combined_faces_train_augmented/29_686_rot_pos20.jpg,29
/content/content/combined_faces_train_augmented/86_40_fliplr_rot_neg20.jpg,86
/content/content/combined_faces_train_augmented/26_2137_fliplr_rot_neg20.jpg,26
/content/content/combined_faces_train_augmented/29_562_fliplr_rot_pos20.jpg,29
/content/content/combined_faces_train_augmented/30_144_rot_pos40.jpg,30
/content/content/combined_faces_train_augmented/43_89_rot_neg40.jpg,43
/content/content/combined_faces_train_augmented/27_249_fliplr_rot_pos40.jpg,27
/content/content/combined_faces_train_augmented/26_2162_fliplr_rot_pos40.jpg,26
/content/content/combined_faces_train_augmented/18_109_fliplr_rot_neg20.jpg,18
/content/content/combined_faces_train_augmented/44_61_fliplr.jpg,44
/content/content/combined_faces_train_augmented/21_401_rot_neg20.jpg,21
/content/content/combined_faces_train_augmented/58_11_fliplr.jpg,58
/content/content/combined_faces_train_augmented/23_5_rot_pos20.jpg,23
/content/content/combined_faces_train_augmented/47_96_rot_neg40.jpg,47
/content/content/combined_faces_train_augmented/31_37_rot_neg20.jpg,31
/content/content/combined_faces_train_augmented/1_1917_rot_pos40.jpg,1
/content/content/combined_faces_train_augmented/34_379_fliplr_rot_pos40.jpg,34
/content/content/combined_faces_train_augmented/23_225_fliplr_rot_neg20.jpg,23
/content/content/combined_faces_train_augmented/3_17_fliplr_rot_neg40.jpg,3
/content/content/combined_faces_train_augmented/28_576_fliplr_rot_neg40.jpg,28
/content/content/combined_faces_train_augmented/35_210_rot_pos20.jpg,35
/content/content/combined_faces_train_augmented/46_114_rot_neg20.jpg,46
/content/content/combined_faces_train_augmented/22_405_fliplr_rot_neg40.jpg,22
/content/content/combined_faces_train_augmented/27_168_fliplr_rot_neg40.jpg,27
/content/content/combined_faces_train_augmented/51_46_rot_neg40.jpg,51
/content/content/combined_faces_train_augmented/13_68_fliplr_rot_neg20.jpg,13
/content/content/combined_faces_train_augmented/24_437_rot_neg40.jpg,24
/content/content/combined_faces_train_augmented/2_682_rot_pos20.jpg,2
/content/content/combined_faces_train_augmented/70_167_rot_pos20.jpg,70
/content/content/combined_faces_train_augmented/26_68_fliplr_rot_pos40.jpg,26
/content/content/combined_faces_train_augmented/24_441_rot_neg20.jpg,24
/content/content/combined_faces_train_augmented/36_133_rot_pos40.jpg,36
